model,task,weight_ED,alpha_std_batch,alpha_std_all,beta_batch,test_MAE
SchNet,u0,0.01,0,-1.5,0,0.013915
SchNet,mu,0.01,0,-1.5,0,0.030501
SchNet,zpve,0.01,0,-1.5,0,0.00169
SchNet,alpha,0.01,0,-1.5,0,0.069899
SchNet,h298,0.01,0,-1.5,0,0.014069
SchNet,homo,0.01,0,-1.5,0,0.031875
SchNet,r2,0.01,0,-1.5,0,0.139602
SchNet,u298,0.01,0,-1.5,0,0.014321
SchNet,g298,0.01,0,-1.5,0,0.014399
SchNet,cv,0.01,0,-1.5,0.5,0.031719
SchNet,gap,0.01,0,-1.5,0.5,0.050548
SchNet,lumo,0.01,0,-1.5,0.5,0.026332
SchNet,u0,0.01,0,-1.5,0.5,0.013784
SchNet,mu,0.01,0,-1.5,0.5,0.030721
SchNet,zpve,0.01,0,-1.5,0.5,0.001707
SchNet,alpha,0.01,0,-1.5,0.5,0.070249
SchNet,h298,0.01,0,-1.5,0.5,0.014082
SchNet,homo,0.01,0,-1.5,0.5,0.032138
SchNet,r2,0.01,0,-1.5,0.5,0.135066
SchNet,u298,0.01,0,-1.5,0.5,0.014323
SchNet,g298,0.01,0,-1.5,0.5,0.013929
SchNet,cv,0.5,0,1.5,0.5,0.031835
SchNet,gap,0.5,0,1.5,0.5,0.049792
SchNet,lumo,0.5,0,1.5,0.5,0.025916
SchNet,u0,0.5,0,1.5,0.5,0.013596
SchNet,mu,0.5,0,1.5,0.5,0.029887
SchNet,zpve,0.5,0,1.5,0.5,0.001702
SchNet,alpha,0.5,0,1.5,0.5,0.069259
SchNet,h298,0.5,0,1.5,0.5,0.014297
SchNet,homo,0.5,0,1.5,0.5,0.032397
SchNet,r2,0.5,0,1.5,0.5,0.135466
SchNet,u298,0.5,0,1.5,0.5,0.014359
SchNet,g298,0.5,0,1.5,0.5,0.014237
SchNet,cv,1.0,1.5,1.5,0.5,0.031759
SchNet,gap,1.0,1.5,1.5,0.5,0.050682
SchNet,lumo,1.0,1.5,1.5,0.5,0.026363
SchNet,u0,1.0,1.5,1.5,0.5,0.014087
SchNet,mu,1.0,1.5,1.5,0.5,0.030589
SchNet,zpve,1.0,1.5,1.5,0.5,0.001719
SchNet,alpha,1.0,1.5,1.5,0.5,0.068938
SchNet,h298,1.0,1.5,1.5,0.5,0.014311
SchNet,homo,1.0,1.5,1.5,0.5,0.031949
SchNet,r2,1.0,1.5,1.5,0.5,0.1331
SchNet,u298,1.0,1.5,1.5,0.5,0.014516
SchNet,g298,1.0,1.5,1.5,0.5,0.014411
SchNet,cv,0.01,-1.5,0,0.5,0.032206
SchNet,gap,0.01,-1.5,0,0.5,0.049673
SchNet,lumo,0.01,-1.5,0,0.5,0.025642
SchNet,u0,0.01,-1.5,0,0.5,0.014056
SchNet,mu,0.01,-1.5,0,0.5,0.030705
SchNet,zpve,0.01,-1.5,0,0.5,0.001712
SchNet,alpha,0.01,-1.5,0,0.5,0.071134
SchNet,h298,0.01,-1.5,0,0.5,0.014533
SchNet,homo,0.01,-1.5,0,0.5,0.032048
SchNet,r2,0.01,-1.5,0,0.5,0.138034
SchNet,u298,0.01,-1.5,0,0.5,0.014064
SchNet,g298,0.01,-1.5,0,0.5,0.014386
SchNet,cv,0.01,-1.5,1.5,0.5,0.031625
SchNet,gap,0.01,-1.5,1.5,0.5,0.049901
SchNet,lumo,0.01,-1.5,1.5,0.5,0.026215
SchNet,u0,0.01,-1.5,1.5,0.5,0.013732
SchNet,mu,0.01,-1.5,1.5,0.5,0.030823
SchNet,zpve,0.01,-1.5,1.5,0.5,0.001732
SchNet,alpha,0.01,-1.5,1.5,0.5,0.070316
SchNet,h298,0.01,-1.5,1.5,0.5,0.014209
SchNet,homo,0.01,-1.5,1.5,0.5,0.032154
SchNet,r2,0.01,-1.5,1.5,0.5,0.135952
SchNet,u298,0.01,-1.5,1.5,0.5,0.01423
SchNet,g298,0.01,-1.5,1.5,0.5,0.014055
SchNet,cv,0.01,0,-1.5,1,0.031708
SchNet,gap,0.01,0,-1.5,1,0.050116
SchNet,lumo,0.01,0,-1.5,1,0.026335
SchNet,u0,0.01,0,-1.5,1,0.013785
SchNet,mu,0.01,0,-1.5,1,0.03035
SchNet,zpve,0.01,0,-1.5,1,0.001723
SchNet,alpha,0.01,0,-1.5,1,0.070659
SchNet,h298,0.01,0,-1.5,1,0.014093
SchNet,homo,0.01,0,-1.5,1,0.031874
SchNet,r2,0.01,0,-1.5,1,0.134774
SchNet,u298,0.01,0,-1.5,1,0.013613
SchNet,g298,0.01,0,-1.5,1,0.014303
SchNet,cv,0.01,0,1.5,0.5,0.032119
SchNet,gap,0.01,0,1.5,0.5,0.049661
SchNet,lumo,0.01,0,1.5,0.5,0.026224
SchNet,u0,0.01,0,1.5,0.5,0.014045
SchNet,mu,0.01,0,1.5,0.5,0.03069
SchNet,zpve,0.01,0,1.5,0.5,0.001708
SchNet,alpha,0.01,0,1.5,0.5,0.07034
SchNet,h298,0.01,0,1.5,0.5,0.014092
SchNet,homo,0.01,0,1.5,0.5,0.031805
SchNet,r2,0.01,0,1.5,0.5,0.125908
SchNet,u298,0.01,0,1.5,0.5,0.013884
SchNet,g298,0.01,0,1.5,0.5,0.0142
SchNet,cv,0.01,0,1.5,0,0.032049
SchNet,gap,0.01,0,1.5,0,0.05028
SchNet,lumo,0.01,0,1.5,0,0.026021
SchNet,u0,0.01,0,1.5,0,0.013885
SchNet,mu,0.01,0,1.5,0,0.030435
SchNet,zpve,0.01,0,1.5,0,0.001718
SchNet,alpha,0.01,0,1.5,0,0.069245
SchNet,h298,0.01,0,1.5,0,0.014137
SchNet,homo,0.01,0,1.5,0,0.032089
SchNet,r2,0.01,0,1.5,0,0.137651
SchNet,u298,0.01,0,1.5,0,0.014058
SchNet,g298,0.01,0,1.5,0,0.014067
SchNet,cv,0.01,0,0,0,0.032088
SchNet,gap,0.01,0,0,0,0.050278
SchNet,lumo,0.01,0,0,0,0.026286
SchNet,u0,0.01,0,0,0,0.013877
SchNet,mu,0.01,0,0,0,0.030314
SchNet,zpve,0.01,0,0,0,0.001678
SchNet,alpha,0.01,0,0,0,0.069879
SchNet,h298,0.01,0,0,0,0.014038
SchNet,homo,0.01,0,0,0,0.032011
SchNet,r2,0.01,0,0,0,0.137534
SchNet,u298,0.01,0,0,0,0.014066
SchNet,g298,0.01,0,0,0,0.014176
SchNet,cv,0.5,1.5,0,0.5,0.031681
SchNet,gap,0.5,1.5,0,0.5,0.049911
